keyword,age_code,gender,n_obs,n_nonzero,n_missing,expected,completeness_pct,nonzero_pct
리프팅시술,10,all,120,120,0,120,100.0,100.0
리프팅시술,10,f,120,120,0,120,100.0,100.0
리프팅시술,10,m,120,120,0,120,100.0,100.0
리프팅시술,11,all,120,120,0,120,100.0,100.0
리프팅시술,11,f,120,120,0,120,100.0,100.0
리프팅시술,11,m,120,120,0,120,100.0,100.0
리프팅시술,3,all,120,120,0,120,100.0,100.0
리프팅시술,3,f,120,120,0,120,100.0,100.0
리프팅시술,3,m,120,120,0,120,100.0,100.0
리프팅시술,4,all,120,120,0,120,100.0,100.0
리프팅시술,4,f,120,120,0,120,100.0,100.0
리프팅시술,4,m,120,120,0,120,100.0,100.0
리프팅시술,5,all,120,120,0,120,100.0,100.0
리프팅시술,5,f,120,120,0,120,100.0,100.0
리프팅시술,5,m,120,120,0,120,100.0,100.0
리프팅시술,6,all,120,120,0,120,100.0,100.0
리프팅시술,6,f,120,120,0,120,100.0,100.0
리프팅시술,6,m,120,120,0,120,100.0,100.0
리프팅시술,7,all,120,120,0,120,100.0,100.0
리프팅시술,7,f,120,120,0,120,100.0,100.0
리프팅시술,7,m,120,120,0,120,100.0,100.0
리프팅시술,8,all,120,120,0,120,100.0,100.0
리프팅시술,8,f,120,120,0,120,100.0,100.0
리프팅시술,8,m,120,120,0,120,100.0,100.0
리프팅시술,9,all,120,120,0,120,100.0,100.0
리프팅시술,9,f,120,120,0,120,100.0,100.0
리프팅시술,9,m,120,120,0,120,100.0,100.0
슈링크,10,all,120,120,0,120,100.0,100.0
슈링크,10,f,120,120,0,120,100.0,100.0
슈링크,10,m,120,120,0,120,100.0,100.0
슈링크,11,all,120,120,0,120,100.0,100.0
슈링크,11,f,120,120,0,120,100.0,100.0
슈링크,11,m,120,120,0,120,100.0,100.0
슈링크,3,all,120,120,0,120,100.0,100.0
슈링크,3,f,120,120,0,120,100.0,100.0
슈링크,3,m,120,120,0,120,100.0,100.0
슈링크,4,all,120,120,0,120,100.0,100.0
슈링크,4,f,120,120,0,120,100.0,100.0
슈링크,4,m,120,120,0,120,100.0,100.0
슈링크,5,all,120,120,0,120,100.0,100.0
슈링크,5,f,120,120,0,120,100.0,100.0
슈링크,5,m,120,120,0,120,100.0,100.0
슈링크,6,all,120,120,0,120,100.0,100.0
슈링크,6,f,120,120,0,120,100.0,100.0
슈링크,6,m,120,120,0,120,100.0,100.0
슈링크,7,all,120,120,0,120,100.0,100.0
슈링크,7,f,120,120,0,120,100.0,100.0
슈링크,7,m,120,120,0,120,100.0,100.0
슈링크,8,all,120,120,0,120,100.0,100.0
슈링크,8,f,120,120,0,120,100.0,100.0
슈링크,8,m,120,120,0,120,100.0,100.0
슈링크,9,all,120,120,0,120,100.0,100.0
슈링크,9,f,120,120,0,120,100.0,100.0
슈링크,9,m,120,120,0,120,100.0,100.0
실리프팅,10,all,120,120,0,120,100.0,100.0
실리프팅,10,f,120,120,0,120,100.0,100.0
실리프팅,10,m,120,120,0,120,100.0,100.0
실리프팅,11,all,120,120,0,120,100.0,100.0
