keyword,age_group,gender,period,mean_rsv
리프팅시술,Middle,all,2016-01-01,8.46073
리프팅시술,Middle,all,2016-02-01,12.471924999999999
리프팅시술,Middle,all,2016-03-01,12.089044999999999
리프팅시술,Middle,all,2016-04-01,55.60755
리프팅시술,Middle,all,2016-05-01,17.912095
리프팅시술,Middle,all,2016-06-01,11.723175
리프팅시술,Middle,all,2016-07-01,13.328505
리프팅시술,Middle,all,2016-08-01,30.92944
리프팅시술,Middle,all,2016-09-01,6.51248
리프팅시술,Middle,all,2016-10-01,22.427155
리프팅시술,Middle,all,2016-11-01,37.203239999999994
리프팅시술,Middle,all,2016-12-01,23.346899999999998
리프팅시술,Middle,all,2017-01-01,30.75694
리프팅시술,Middle,all,2017-02-01,35.687129999999996
리프팅시술,Middle,all,2017-03-01,28.352755000000002
리프팅시술,Middle,all,2017-04-01,17.674825
리프팅시술,Middle,all,2017-05-01,13.769945
리프팅시술,Middle,all,2017-06-01,24.219735
리프팅시술,Middle,all,2017-07-01,29.354105
리프팅시술,Middle,all,2017-08-01,25.033255
리프팅시술,Middle,all,2017-09-01,25.25971
리프팅시술,Middle,all,2017-10-01,25.912955
리프팅시술,Middle,all,2017-11-01,64.36345
리프팅시술,Middle,all,2017-12-01,46.825514999999996
리프팅시술,Middle,all,2018-01-01,24.86527
리프팅시술,Middle,all,2018-02-01,28.99585
리프팅시술,Middle,all,2018-03-01,44.976045
리프팅시술,Middle,all,2018-04-01,82.04975999999999
리프팅시술,Middle,all,2018-05-01,100.0
리프팅시술,Middle,all,2018-06-01,67.40329
리프팅시술,Middle,all,2018-07-01,46.379630000000006
리프팅시술,Middle,all,2018-08-01,47.655285
리프팅시술,Middle,all,2018-09-01,56.17082
리프팅시술,Middle,all,2018-10-01,58.812185
리프팅시술,Middle,all,2018-11-01,43.006175
리프팅시술,Middle,all,2018-12-01,39.808409999999995
리프팅시술,Middle,all,2019-01-01,52.474465
리프팅시술,Middle,all,2019-02-01,41.366825000000006
리프팅시술,Middle,all,2019-03-01,43.61937
리프팅시술,Middle,all,2019-04-01,42.08107
리프팅시술,Middle,all,2019-05-01,33.805995
리프팅시술,Middle,all,2019-06-01,32.875435
리프팅시술,Middle,all,2019-07-01,33.978495
리프팅시술,Middle,all,2019-08-01,32.02798
리프팅시술,Middle,all,2019-09-01,31.431710000000002
리프팅시술,Middle,all,2019-10-01,37.5676
리프팅시술,Middle,all,2019-11-01,43.324380000000005
리프팅시술,Middle,all,2019-12-01,44.735765
리프팅시술,Middle,all,2020-01-01,49.40170500000001
리프팅시술,Middle,all,2020-02-01,36.78877
리프팅시술,Middle,all,2020-03-01,33.631985
리프팅시술,Middle,all,2020-04-01,43.756785
리프팅시술,Middle,all,2020-05-01,40.686115
리프팅시술,Middle,all,2020-06-01,31.485755
리프팅시술,Middle,all,2020-07-01,36.740265
리프팅시술,Middle,all,2020-08-01,33.79376
리프팅시술,Middle,all,2020-09-01,33.625780000000006
리프팅시술,Middle,all,2020-10-01,36.181115000000005
리프팅시술,Middle,all,2020-11-01,36.04799
리프팅시술,Middle,all,2020-12-01,33.52566
리프팅시술,Middle,all,2021-01-01,44.79459
리프팅시술,Middle,all,2021-02-01,36.598855
리프팅시술,Middle,all,2021-03-01,41.519745
리프팅시술,Middle,all,2021-04-01,34.756834999999995
리프팅시술,Middle,all,2021-05-01,37.294315
리프팅시술,Middle,all,2021-06-01,37.209705
리프팅시술,Middle,all,2021-07-01,34.41626
리프팅시술,Middle,all,2021-08-01,34.29838
리프팅시술,Middle,all,2021-09-01,41.302585
리프팅시술,Middle,all,2021-10-01,40.461335
리프팅시술,Middle,all,2021-11-01,46.93696
리프팅시술,Middle,all,2021-12-01,42.46262
리프팅시술,Middle,all,2022-01-01,47.598665
리프팅시술,Middle,all,2022-02-01,44.08664
리프팅시술,Middle,all,2022-03-01,44.716845
리프팅시술,Middle,all,2022-04-01,46.417015000000006
리프팅시술,Middle,all,2022-05-01,49.630865
리프팅시술,Middle,all,2022-06-01,39.859705000000005
리프팅시술,Middle,all,2022-07-01,39.047695000000004
리프팅시술,Middle,all,2022-08-01,35.6982
리프팅시술,Middle,all,2022-09-01,38.91909
리프팅시술,Middle,all,2022-10-01,40.845725
리프팅시술,Middle,all,2022-11-01,74.736595
리프팅시술,Middle,all,2022-12-01,47.563895
리프팅시술,Middle,all,2023-01-01,53.726185
리프팅시술,Middle,all,2023-02-01,58.290504999999996
리프팅시술,Middle,all,2023-03-01,54.299994999999996
리프팅시술,Middle,all,2023-04-01,53.763040000000004
리프팅시술,Middle,all,2023-05-01,50.22262
리프팅시술,Middle,all,2023-06-01,46.571844999999996
리프팅시술,Middle,all,2023-07-01,39.73177
리프팅시술,Middle,all,2023-08-01,45.19599
리프팅시술,Middle,all,2023-09-01,40.695589999999996
리프팅시술,Middle,all,2023-10-01,40.442155
리프팅시술,Middle,all,2023-11-01,36.51792
리프팅시술,Middle,all,2023-12-01,43.4897
리프팅시술,Middle,all,2024-01-01,50.803385000000006
리프팅시술,Middle,all,2024-02-01,44.06511
리프팅시술,Middle,all,2024-03-01,44.910125
리프팅시술,Middle,all,2024-04-01,46.938555
리프팅시술,Middle,all,2024-05-01,39.814205
리프팅시술,Middle,all,2024-06-01,36.806799999999996
리프팅시술,Middle,all,2024-07-01,38.97464
리프팅시술,Middle,all,2024-08-01,34.536575
