date,keyword,rsv
2016-01-01,리프팅시술,17
2016-02-01,리프팅시술,14
2016-03-01,리프팅시술,25
2016-04-01,리프팅시술,29
2016-05-01,리프팅시술,18
2016-06-01,리프팅시술,21
2016-07-01,리프팅시술,26
2016-08-01,리프팅시술,22
2016-09-01,리프팅시술,22
2016-10-01,리프팅시술,17
2016-11-01,리프팅시술,24
2016-12-01,리프팅시술,25
2017-01-01,리프팅시술,24
2017-02-01,리프팅시술,32
2017-03-01,리프팅시술,32
2017-04-01,리프팅시술,29
2017-05-01,리프팅시술,36
2017-06-01,리프팅시술,30
2017-07-01,리프팅시술,37
2017-08-01,리프팅시술,31
2017-09-01,리프팅시술,29
2017-10-01,리프팅시술,26
2017-11-01,리프팅시술,34
2017-12-01,리프팅시술,29
2018-01-01,리프팅시술,30
2018-02-01,리프팅시술,33
2018-03-01,리프팅시술,40
2018-04-01,리프팅시술,42
2018-05-01,리프팅시술,44
2018-06-01,리프팅시술,44
2018-07-01,리프팅시술,51
2018-08-01,리프팅시술,38
2018-09-01,리프팅시술,36
2018-10-01,리프팅시술,33
2018-11-01,리프팅시술,39
2018-12-01,리프팅시술,42
2019-01-01,리프팅시술,39
2019-02-01,리프팅시술,39
2019-03-01,리프팅시술,43
2019-04-01,리프팅시술,52
2019-05-01,리프팅시술,54
2019-06-01,리프팅시술,53
2019-07-01,리프팅시술,47
2019-08-01,리프팅시술,49
2019-09-01,리프팅시술,46
2019-10-01,리프팅시술,46
2019-11-01,리프팅시술,48
2019-12-01,리프팅시술,47
2020-01-01,리프팅시술,51
2020-02-01,리프팅시술,51
2020-03-01,리프팅시술,56
2020-04-01,리프팅시술,60
2020-05-01,리프팅시술,52
2020-06-01,리프팅시술,57
2020-07-01,리프팅시술,56
2020-08-01,리프팅시술,53
2020-09-01,리프팅시술,53
2020-10-01,리프팅시술,59
2020-11-01,리프팅시술,49
2020-12-01,리프팅시술,58
2021-01-01,리프팅시술,49
2021-02-01,리프팅시술,58
2021-03-01,리프팅시술,63
2021-04-01,리프팅시술,68
2021-05-01,리프팅시술,70
2021-06-01,리프팅시술,70
2021-07-01,리프팅시술,64
2021-08-01,리프팅시술,62
2021-09-01,리프팅시술,66
2021-10-01,리프팅시술,60
2021-11-01,리프팅시술,55
2021-12-01,리프팅시술,57
2022-01-01,리프팅시술,60
2022-02-01,리프팅시술,70
2022-03-01,리프팅시술,71
2022-04-01,리프팅시술,76
2022-05-01,리프팅시술,73
2022-06-01,리프팅시술,75
2022-07-01,리프팅시술,76
2022-08-01,리프팅시술,71
2022-09-01,리프팅시술,72
2022-10-01,리프팅시술,66
2022-11-01,리프팅시술,67
2022-12-01,리프팅시술,68
2023-01-01,리프팅시술,67
2023-02-01,리프팅시술,78
2023-03-01,리프팅시술,77
2023-04-01,리프팅시술,81
2023-05-01,리프팅시술,85
2023-06-01,리프팅시술,85
2023-07-01,리프팅시술,85
2023-08-01,리프팅시술,80
2023-09-01,리프팅시술,76
2023-10-01,리프팅시술,77
2023-11-01,리프팅시술,70
2023-12-01,리프팅시술,72
2024-01-01,리프팅시술,75
2024-02-01,리프팅시술,79
2024-03-01,리프팅시술,88
2024-04-01,리프팅시술,85
2024-05-01,리프팅시술,89
2024-06-01,리프팅시술,97
2024-07-01,리프팅시술,88
2024-08-01,리프팅시술,91
2024-09-01,리프팅시술,82
2024-10-01,리프팅시술,84
2024-11-01,리프팅시술,81
2024-12-01,리프팅시술,85
2025-01-01,리프팅시술,92
2025-02-01,리프팅시술,84
2025-03-01,리프팅시술,97
2025-04-01,리프팅시술,98
2025-05-01,리프팅시술,96
2025-06-01,리프팅시술,93
2025-07-01,리프팅시술,98
2025-08-01,리프팅시술,94
2025-09-01,리프팅시술,95
2025-10-01,리프팅시술,93
2025-11-01,리프팅시술,100
2025-12-01,리프팅시술,93
2016-01-01,슈링크,0
2016-02-01,슈링크,0
2016-03-01,슈링크,0
2016-04-01,슈링크,0
2016-05-01,슈링크,10
2016-06-01,슈링크,0
2016-07-01,슈링크,0
2016-08-01,슈링크,8
2016-09-01,슈링크,12
2016-10-01,슈링크,0
2016-11-01,슈링크,0
2016-12-01,슈링크,3
2017-01-01,슈링크,10
2017-02-01,슈링크,3
2017-03-01,슈링크,8
2017-04-01,슈링크,14
2017-05-01,슈링크,14
2017-06-01,슈링크,12
2017-07-01,슈링크,12
2017-08-01,슈링크,7
2017-09-01,슈링크,11
2017-10-01,슈링크,10
2017-11-01,슈링크,12
2017-12-01,슈링크,11
2018-01-01,슈링크,16
2018-02-01,슈링크,21
2018-03-01,슈링크,20
2018-04-01,슈링크,23
2018-05-01,슈링크,23
2018-06-01,슈링크,23
2018-07-01,슈링크,21
2018-08-01,슈링크,24
2018-09-01,슈링크,21
2018-10-01,슈링크,29
2018-11-01,슈링크,28
2018-12-01,슈링크,24
2019-01-01,슈링크,22
2019-02-01,슈링크,23
2019-03-01,슈링크,34
2019-04-01,슈링크,33
2019-05-01,슈링크,35
2019-06-01,슈링크,27
2019-07-01,슈링크,37
2019-08-01,슈링크,35
2019-09-01,슈링크,28
2019-10-01,슈링크,30
2019-11-01,슈링크,33
2019-12-01,슈링크,34
2020-01-01,슈링크,34
2020-02-01,슈링크,37
2020-03-01,슈링크,39
2020-04-01,슈링크,43
2020-05-01,슈링크,49
2020-06-01,슈링크,35
2020-07-01,슈링크,43
2020-08-01,슈링크,44
2020-09-01,슈링크,44
2020-10-01,슈링크,41
2020-11-01,슈링크,36
2020-12-01,슈링크,45
2021-01-01,슈링크,52
2021-02-01,슈링크,43
2021-03-01,슈링크,54
2021-04-01,슈링크,51
2021-05-01,슈링크,54
2021-06-01,슈링크,51
2021-07-01,슈링크,53
2021-08-01,슈링크,59
2021-09-01,슈링크,55
2021-10-01,슈링크,59
2021-11-01,슈링크,57
2021-12-01,슈링크,56
2022-01-01,슈링크,63
2022-02-01,슈링크,60
2022-03-01,슈링크,64
2022-04-01,슈링크,62
2022-05-01,슈링크,65
2022-06-01,슈링크,62
2022-07-01,슈링크,68
2022-08-01,슈링크,60
2022-09-01,슈링크,66
2022-10-01,슈링크,62
2022-11-01,슈링크,68
2022-12-01,슈링크,67
2023-01-01,슈링크,73
2023-02-01,슈링크,72
2023-03-01,슈링크,66
2023-04-01,슈링크,73
2023-05-01,슈링크,71
2023-06-01,슈링크,74
2023-07-01,슈링크,81
2023-08-01,슈링크,77
2023-09-01,슈링크,71
2023-10-01,슈링크,70
2023-11-01,슈링크,74
2023-12-01,슈링크,71
2024-01-01,슈링크,75
2024-02-01,슈링크,81
2024-03-01,슈링크,86
2024-04-01,슈링크,86
2024-05-01,슈링크,77
2024-06-01,슈링크,87
2024-07-01,슈링크,86
2024-08-01,슈링크,87
2024-09-01,슈링크,90
2024-10-01,슈링크,76
2024-11-01,슈링크,82
2024-12-01,슈링크,88
2025-01-01,슈링크,82
2025-02-01,슈링크,95
2025-03-01,슈링크,94
2025-04-01,슈링크,97
2025-05-01,슈링크,94
2025-06-01,슈링크,99
2025-07-01,슈링크,100
2025-08-01,슈링크,96
2025-09-01,슈링크,96
2025-10-01,슈링크,95
2025-11-01,슈링크,92
2025-12-01,슈링크,95
2016-01-01,실리프팅,24
2016-02-01,실리프팅,34
2016-03-01,실리프팅,38
2016-04-01,실리프팅,47
2016-05-01,실리프팅,47
2016-06-01,실리프팅,45
2016-07-01,실리프팅,50
2016-08-01,실리프팅,36
2016-09-01,실리프팅,38
2016-10-01,실리프팅,36
2016-11-01,실리프팅,39
2016-12-01,실리프팅,36
2017-01-01,실리프팅,49
2017-02-01,실리프팅,49
2017-03-01,실리프팅,47
2017-04-01,실리프팅,53
2017-05-01,실리프팅,62
2017-06-01,실리프팅,65
2017-07-01,실리프팅,70
2017-08-01,실리프팅,73
2017-09-01,실리프팅,60
2017-10-01,실리프팅,53
2017-11-01,실리프팅,48
2017-12-01,실리프팅,61
2018-01-01,실리프팅,59
2018-02-01,실리프팅,65
2018-03-01,실리프팅,68
2018-04-01,실리프팅,74
2018-05-01,실리프팅,82
2018-06-01,실리프팅,79
2018-07-01,실리프팅,77
2018-08-01,실리프팅,72
2018-09-01,실리프팅,67
2018-10-01,실리프팅,72
2018-11-01,실리프팅,75
2018-12-01,실리프팅,86
2019-01-01,실리프팅,81
2019-02-01,실리프팅,88
2019-03-01,실리프팅,84
2019-04-01,실리프팅,82
2019-05-01,실리프팅,84
2019-06-01,실리프팅,85
2019-07-01,실리프팅,97
2019-08-01,실리프팅,80
2019-09-01,실리프팅,86
2019-10-01,실리프팅,75
2019-11-01,실리프팅,83
2019-12-01,실리프팅,81
2020-01-01,실리프팅,81
2020-02-01,실리프팅,84
2020-03-01,실리프팅,84
2020-04-01,실리프팅,91
2020-05-01,실리프팅,88
2020-06-01,실리프팅,84
2020-07-01,실리프팅,82
2020-08-01,실리프팅,86
2020-09-01,실리프팅,90
2020-10-01,실리프팅,81
2020-11-01,실리프팅,79
2020-12-01,실리프팅,82
2021-01-01,실리프팅,89
2021-02-01,실리프팅,86
2021-03-01,실리프팅,86
2021-04-01,실리프팅,95
2021-05-01,실리프팅,93
2021-06-01,실리프팅,98
2021-07-01,실리프팅,90
2021-08-01,실리프팅,80
2021-09-01,실리프팅,77
2021-10-01,실리프팅,89
2021-11-01,실리프팅,89
2021-12-01,실리프팅,81
2022-01-01,실리프팅,81
2022-02-01,실리프팅,93
2022-03-01,실리프팅,83
2022-04-01,실리프팅,87
2022-05-01,실리프팅,95
2022-06-01,실리프팅,89
2022-07-01,실리프팅,90
2022-08-01,실리프팅,86
2022-09-01,실리프팅,86
2022-10-01,실리프팅,89
2022-11-01,실리프팅,82
2022-12-01,실리프팅,85
2023-01-01,실리프팅,74
2023-02-01,실리프팅,87
2023-03-01,실리프팅,86
2023-04-01,실리프팅,86
2023-05-01,실리프팅,89
2023-06-01,실리프팅,91
2023-07-01,실리프팅,95
2023-08-01,실리프팅,82
2023-09-01,실리프팅,86
2023-10-01,실리프팅,81
2023-11-01,실리프팅,81
2023-12-01,실리프팅,88
2024-01-01,실리프팅,88
2024-02-01,실리프팅,94
2024-03-01,실리프팅,90
2024-04-01,실리프팅,89
2024-05-01,실리프팅,93
2024-06-01,실리프팅,94
2024-07-01,실리프팅,92
2024-08-01,실리프팅,84
2024-09-01,실리프팅,87
2024-10-01,실리프팅,85
2024-11-01,실리프팅,96
2024-12-01,실리프팅,93
2025-01-01,실리프팅,82
2025-02-01,실리프팅,87
2025-03-01,실리프팅,85
2025-04-01,실리프팅,91
2025-05-01,실리프팅,96
2025-06-01,실리프팅,100
2025-07-01,실리프팅,89
2025-08-01,실리프팅,87
2025-09-01,실리프팅,77
2025-10-01,실리프팅,85
2025-11-01,실리프팅,79
2025-12-01,실리프팅,83
2016-01-01,써마지,30
2016-02-01,써마지,34
2016-03-01,써마지,38
2016-04-01,써마지,32
2016-05-01,써마지,37
2016-06-01,써마지,43
2016-07-01,써마지,34
2016-08-01,써마지,33
2016-09-01,써마지,35
2016-10-01,써마지,37
2016-11-01,써마지,34
2016-12-01,써마지,40
2017-01-01,써마지,40
2017-02-01,써마지,42
2017-03-01,써마지,43
2017-04-01,써마지,52
2017-05-01,써마지,43
2017-06-01,써마지,36
2017-07-01,써마지,49
2017-08-01,써마지,40
2017-09-01,써마지,41
2017-10-01,써마지,45
2017-11-01,써마지,34
2017-12-01,써마지,36
2018-01-01,써마지,36
2018-02-01,써마지,42
2018-03-01,써마지,49
2018-04-01,써마지,51
2018-05-01,써마지,51
2018-06-01,써마지,45
2018-07-01,써마지,40
2018-08-01,써마지,48
2018-09-01,써마지,45
2018-10-01,써마지,48
2018-11-01,써마지,49
2018-12-01,써마지,47
2019-01-01,써마지,52
2019-02-01,써마지,52
2019-03-01,써마지,55
2019-04-01,써마지,52
2019-05-01,써마지,55
2019-06-01,써마지,57
2019-07-01,써마지,59
2019-08-01,써마지,53
2019-09-01,써마지,55
2019-10-01,써마지,51
2019-11-01,써마지,52
2019-12-01,써마지,56
2020-01-01,써마지,47
2020-02-01,써마지,52
2020-03-01,써마지,54
2020-04-01,써마지,52
2020-05-01,써마지,60
2020-06-01,써마지,65
2020-07-01,써마지,61
2020-08-01,써마지,61
2020-09-01,써마지,63
2020-10-01,써마지,64
2020-11-01,써마지,58
2020-12-01,써마지,64
2021-01-01,써마지,61
2021-02-01,써마지,60
2021-03-01,써마지,63
2021-04-01,써마지,62
2021-05-01,써마지,65
2021-06-01,써마지,67
2021-07-01,써마지,71
2021-08-01,써마지,73
2021-09-01,써마지,60
2021-10-01,써마지,66
2021-11-01,써마지,61
2021-12-01,써마지,67
2022-01-01,써마지,67
2022-02-01,써마지,62
2022-03-01,써마지,75
2022-04-01,써마지,71
2022-05-01,써마지,72
2022-06-01,써마지,71
2022-07-01,써마지,71
2022-08-01,써마지,74
2022-09-01,써마지,71
2022-10-01,써마지,72
2022-11-01,써마지,72
2022-12-01,써마지,77
2023-01-01,써마지,72
2023-02-01,써마지,70
2023-03-01,써마지,82
2023-04-01,써마지,78
2023-05-01,써마지,85
2023-06-01,써마지,82
2023-07-01,써마지,80
2023-08-01,써마지,80
2023-09-01,써마지,85
2023-10-01,써마지,85
2023-11-01,써마지,77
2023-12-01,써마지,78
2024-01-01,써마지,84
2024-02-01,써마지,78
2024-03-01,써마지,85
2024-04-01,써마지,86
2024-05-01,써마지,88
2024-06-01,써마지,84
2024-07-01,써마지,80
2024-08-01,써마지,77
2024-09-01,써마지,80
2024-10-01,써마지,81
2024-11-01,써마지,82
2024-12-01,써마지,91
2025-01-01,써마지,90
2025-02-01,써마지,84
2025-03-01,써마지,91
2025-04-01,써마지,90
2025-05-01,써마지,92
2025-06-01,써마지,94
2025-07-01,써마지,95
2025-08-01,써마지,90
2025-09-01,써마지,94
2025-10-01,써마지,85
2025-11-01,써마지,89
2025-12-01,써마지,100
2016-01-01,울쎄라,53
2016-02-01,울쎄라,63
2016-03-01,울쎄라,59
2016-04-01,울쎄라,65
2016-05-01,울쎄라,63
2016-06-01,울쎄라,63
2016-07-01,울쎄라,58
2016-08-01,울쎄라,63
2016-09-01,울쎄라,54
2016-10-01,울쎄라,61
2016-11-01,울쎄라,63
2016-12-01,울쎄라,61
2017-01-01,울쎄라,60
2017-02-01,울쎄라,67
2017-03-01,울쎄라,67
2017-04-01,울쎄라,77
2017-05-01,울쎄라,63
2017-06-01,울쎄라,72
2017-07-01,울쎄라,61
2017-08-01,울쎄라,62
2017-09-01,울쎄라,76
2017-10-01,울쎄라,72
2017-11-01,울쎄라,63
2017-12-01,울쎄라,60
2018-01-01,울쎄라,55
2018-02-01,울쎄라,72
2018-03-01,울쎄라,92
2018-04-01,울쎄라,84
2018-05-01,울쎄라,80
2018-06-01,울쎄라,86
2018-07-01,울쎄라,74
2018-08-01,울쎄라,79
2018-09-01,울쎄라,79
2018-10-01,울쎄라,77
2018-11-01,울쎄라,81
2018-12-01,울쎄라,80
2019-01-01,울쎄라,85
2019-02-01,울쎄라,81
2019-03-01,울쎄라,93
2019-04-01,울쎄라,100
2019-05-01,울쎄라,88
2019-06-01,울쎄라,88
2019-07-01,울쎄라,99
2019-08-01,울쎄라,88
2019-09-01,울쎄라,94
2019-10-01,울쎄라,81
2019-11-01,울쎄라,90
2019-12-01,울쎄라,83
2020-01-01,울쎄라,86
2020-02-01,울쎄라,95
2020-03-01,울쎄라,87
2020-04-01,울쎄라,86
2020-05-01,울쎄라,89
2020-06-01,울쎄라,93
2020-07-01,울쎄라,80
2020-08-01,울쎄라,89
2020-09-01,울쎄라,80
2020-10-01,울쎄라,87
2020-11-01,울쎄라,66
2020-12-01,울쎄라,75
2021-01-01,울쎄라,72
2021-02-01,울쎄라,79
2021-03-01,울쎄라,87
2021-04-01,울쎄라,87
2021-05-01,울쎄라,87
2021-06-01,울쎄라,87
2021-07-01,울쎄라,87
2021-08-01,울쎄라,77
2021-09-01,울쎄라,83
