keyword,age_code,gender,period,ratio
실리프팅,all,all,2016-01-01,62.45908
실리프팅,all,all,2016-02-01,67.70687
실리프팅,all,all,2016-03-01,100.0
실리프팅,all,all,2016-04-01,67.37954
실리프팅,all,all,2016-05-01,70.08352
실리프팅,all,all,2016-06-01,37.08135
실리프팅,all,all,2016-07-01,21.40483
실리프팅,all,all,2016-08-01,19.82056
실리프팅,all,all,2016-09-01,20.7352
실리프팅,all,all,2016-10-01,15.02634
실리프팅,all,all,2016-11-01,14.96696
실리프팅,all,all,2016-12-01,49.92116
실리프팅,all,all,2017-01-01,18.9658
실리프팅,all,all,2017-02-01,12.72803
실리프팅,all,all,2017-03-01,13.27242
실리프팅,all,all,2017-04-01,11.88176
실리프팅,all,all,2017-05-01,11.61081
실리프팅,all,all,2017-06-01,9.98463
실리프팅,all,all,2017-07-01,7.86395
실리프팅,all,all,2017-08-01,11.1238
실리프팅,all,all,2017-09-01,11.14177
실리프팅,all,all,2017-10-01,12.24003
실리프팅,all,all,2017-11-01,11.96409
실리프팅,all,all,2017-12-01,13.64765
실리프팅,all,all,2018-01-01,16.76479
실리프팅,all,all,2018-02-01,17.57664
실리프팅,all,all,2018-03-01,14.53035
실리프팅,all,all,2018-04-01,13.92758
실리프팅,all,all,2018-05-01,11.09636
실리프팅,all,all,2018-06-01,8.81352
실리프팅,all,all,2018-07-01,9.45171
실리프팅,all,all,2018-08-01,9.85339
실리프팅,all,all,2018-09-01,9.80749
실리프팅,all,all,2018-10-01,10.22214
실리프팅,all,all,2018-11-01,10.26106
실리프팅,all,all,2018-12-01,10.61235
실리프팅,all,all,2019-01-01,17.53672
실리프팅,all,all,2019-02-01,12.62424
실리프팅,all,all,2019-03-01,16.08818
실리프팅,all,all,2019-04-01,12.01049
실리프팅,all,all,2019-05-01,10.04301
실리프팅,all,all,2019-06-01,9.32198
실리프팅,all,all,2019-07-01,10.02904
실리프팅,all,all,2019-08-01,10.02255
실리프팅,all,all,2019-09-01,9.51608
실리프팅,all,all,2019-10-01,11.20314
실리프팅,all,all,2019-11-01,12.24901
실리프팅,all,all,2019-12-01,12.84429
실리프팅,all,all,2020-01-01,11.57838
실리프팅,all,all,2020-02-01,7.18883
실리프팅,all,all,2020-03-01,6.91589
실리프팅,all,all,2020-04-01,7.16638
실리프팅,all,all,2020-05-01,6.59554
실리프팅,all,all,2020-06-01,5.58959
실리프팅,all,all,2020-07-01,6.16642
실리프팅,all,all,2020-08-01,5.45487
실리프팅,all,all,2020-09-01,4.97634
실리프팅,all,all,2020-10-01,4.93992
실리프팅,all,all,2020-11-01,4.79222
실리프팅,all,all,2020-12-01,5.07664
실리프팅,all,all,2021-01-01,5.6854
실리프팅,all,all,2021-02-01,5.01876
실리프팅,all,all,2021-03-01,5.37503
실리프팅,all,all,2021-04-01,5.09909
실리프팅,all,all,2021-05-01,4.42696
실리프팅,all,all,2021-06-01,4.56069
실리프팅,all,all,2021-07-01,4.66149
실리프팅,all,all,2021-08-01,4.97634
실리프팅,all,all,2021-09-01,4.54422
실리프팅,all,all,2021-10-01,5.06466
실리프팅,all,all,2021-11-01,5.10558
실리프팅,all,all,2021-12-01,4.73533
실리프팅,all,all,2022-01-01,5.50576
실리프팅,all,all,2022-02-01,4.66298
실리프팅,all,all,2022-03-01,5.4883
실리프팅,all,all,2022-04-01,5.65396
실리프팅,all,all,2022-05-01,6.09107
실리프팅,all,all,2022-06-01,6.17689
실리프팅,all,all,2022-07-01,5.94836
실리프팅,all,all,2022-08-01,5.7842
실리프팅,all,all,2022-09-01,5.63101
실리프팅,all,all,2022-10-01,9.9971
실리프팅,all,all,2022-11-01,11.43068
실리프팅,all,all,2022-12-01,11.40872
실리프팅,all,all,2023-01-01,12.70358
실리프팅,all,all,2023-02-01,15.03682
실리프팅,all,all,2023-03-01,14.75839
실리프팅,all,all,2023-04-01,13.75444
