year,YTR,ytr_predicted,joinpoints
2016,1.4179358428346633,1.5152990052841915,"[2018, 2022]"
2017,2.1324735324867388,1.9377472075894957,"[2018, 2022]"
2018,2.240680623847674,2.3601954098946862,"[2018, 2022]"
2019,2.024103551439084,1.9809909112758533,"[2018, 2022]"
2020,1.5991159153913834,1.6017864126569066,"[2018, 2022]"
2021,1.1871914824702763,1.2225819140380736,"[2018, 2022]"
2022,0.8523478655036404,0.8433774154191269,"[2018, 2022]"
2023,0.8104897134334368,0.8307603293104648,"[2018, 2022]"
2024,0.8830728615037392,0.8181432432018028,"[2018, 2022]"
2025,0.7689966168505684,0.8055261570932544,"[2018, 2022]"
