keyword,gender,beta3_interaction,beta3_se,beta3_p,beta3_ci_lower,beta3_ci_upper,beta1_time,beta3_p_bh,significant_bh
리프팅시술,f,-0.5729249703248862,0.10059688297451234,1.2318716511684978e-08,-0.7700912379119209,-0.3757587027378515,0.5674452296384536,3.695614953505494e-08,True
리프팅시술,m,-0.30257999322000273,0.08537042052298796,0.0003936288517952482,-0.46990294279009825,-0.13525704364990723,0.26482426293645944,0.0023617731107714894,True
슈링크,f,-0.25499610221195335,0.08196213229618758,0.001863632180492472,-0.41563892960858817,-0.0943532748153185,0.41588403644548366,0.003727264360984944,True
슈링크,m,-0.2458886702519819,0.07365964323642712,0.0008433106931175184,-0.39025891810944846,-0.10151842239451536,0.3258414435189485,0.0025299320793525553,True
실리프팅,f,-0.6518558703729243,0.0902586433326915,5.119530091831694e-13,-0.8287595605984459,-0.47495218014740265,0.47590637885930276,3.0717180550990166e-12,True
실리프팅,m,-0.1613240650623809,0.06189715439130528,0.009151973212821848,-0.2826402584148545,-0.040007871709907286,0.10106576215380436,0.018303946425643695,True
써마지,f,0.05997109894784422,0.09780925932673094,0.5397815450042336,-0.1317315266870868,0.25167372458277526,0.3199511136503769,0.6606343913139165,False
써마지,m,-0.081286682440328,0.11312181504401095,0.47240187251605525,-0.30300136579239073,0.14042800091173474,0.3843188665954448,0.5668822470192663,False
울쎄라,f,-0.0652813946512488,0.10935490771990111,0.5505286594282638,-0.2796130753149561,0.1490502860124585,0.518554289848072,0.6606343913139165,False
울쎄라,m,-0.010505618251847006,0.14416613262804923,0.9419082854704157,-0.29306604599324826,0.2720548094895543,0.3632309296190489,0.9419082854704157,False
인모드,f,-0.0603364695934577,0.21561941278304783,0.7796090396593571,-0.48294275301590683,0.36226981382899137,0.7028626164502388,0.7796090396593571,False
인모드,m,0.16423177659422555,0.20098038623396777,0.41384085283506533,-0.22968254202330096,0.5581460952117521,0.5090392165776838,0.5668822470192663,False
